Movie Title,female_STEM_character,male_STEM_character,num_female_STEM_characters,num_male_STEM_characters,is_STEM_protagonist,is_male_STEM_protagonist,is_female_STEM_protagonist,is_tech_theme,popularity_by_gender,targeted_by_gender,female_STEM_less_expert,female_STEM_less_attractive
Astro Boy (2009),TRUE,TRUE,1,3,TRUE,TRUE,FALSE,TRUE,1,1,TRUE,TRUE
Big Hero 6 (2014),TRUE,TRUE,2,5,TRUE,TRUE,FALSE,TRUE,0,0,FALSE,TRUE
Bolt (2008),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
Cars (2006),TRUE,TRUE,2,10,TRUE,TRUE,FALSE,TRUE,1,1,TRUE,FALSE
Cars 2 (2011),TRUE,TRUE,3,17,TRUE,TRUE,FALSE,TRUE,1,1,TRUE,FALSE
Cars 3 (2017),TRUE,TRUE,3,15,TRUE,TRUE,FALSE,TRUE,1,1,FALSE,FALSE
Cloudy with a Chance of Meatballs (2009),TRUE,TRUE,1,1,FALSE,FALSE,FALSE,TRUE,0,0,TRUE,TRUE
Cloudy with a Chance of Meatballs 2 (2013),TRUE,TRUE,1,1,FALSE,FALSE,FALSE,TRUE,0,0,TRUE,TRUE
Despicable Me (2013),FALSE,TRUE,0,3,FALSE,FALSE,FALSE,TRUE,0,0,FALSE,FALSE
Despicable Me 2 (2017),FALSE,TRUE,0,2,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
Despicable Me 3 (2024),FALSE,TRUE,0,2,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
Finding Dory (2016),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
Finding Nemo (2003),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
Frozen (2013),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,-1,-1,FALSE,FALSE
Frozen II (2019),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,-1,-1,FALSE,FALSE
Ice Age: Continental Drift (2012),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
Ice Age: Dawn of the Dinosaurs (2009),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
Inside Out 2 (2024),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
Jimmy Neutron: Boy Genius (2001),TRUE,TRUE,1,1,TRUE,TRUE,FALSE,TRUE,0,0,FALSE,FALSE
Meet the Robinsons (2007),FALSE,TRUE,0,4,TRUE,TRUE,FALSE,TRUE,0,0,TRUE,FALSE
Megamind (2010),FALSE,TRUE,0,1,TRUE,TRUE,FALSE,TRUE,0,0,FALSE,FALSE
Minions (2015),FALSE,TRUE,0,2,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
Minions: The Rise of Gru (2022),FALSE,TRUE,0,3,TRUE,TRUE,FALSE,TRUE,0,0,FALSE,FALSE
Monsters University (2013),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
Monsters vs. Aliens (2009),FALSE,TRUE,0,1,TRUE,TRUE,FALSE,TRUE,0,0,FALSE,FALSE
"Monsters, Inc. (2001)",FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
Next Gen (2018),TRUE,TRUE,1,1,TRUE,TRUE,TRUE,TRUE,0,0,FALSE,TRUE
Ratatouille (2007),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
Robots (2005),TRUE,TRUE,1,4,TRUE,TRUE,FALSE,TRUE,1,1,TRUE,TRUE
Scooby Doo Cyberchase (2001),TRUE,TRUE,1,5,TRUE,TRUE,TRUE,TRUE,0,0,FALSE,TRUE
Shrek 2 (2004),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
Spider-Man: Into the Spider-Verse (2018),TRUE,TRUE,1,10,TRUE,TRUE,FALSE,TRUE,1,1,TRUE,TRUE
Spy Kids 3-D: Game Over (2003),TRUE,TRUE,4,14,TRUE,TRUE,TRUE,TRUE,1,0,TRUE,TRUE
The Incredibles (2004),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
The Incredibles 2 (2018),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
The Iron Giant (1999),FALSE,TRUE,0,1,TRUE,TRUE,FALSE,TRUE,1,1,FALSE,FALSE
The Lion King (1994),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
The Mitchells vs. The Machines (2021),TRUE,TRUE,1,3,TRUE,TRUE,TRUE,TRUE,0,0,FALSE,TRUE
The Secret Life of Pets (2016),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
The Super Mario Bros. Movie (2023),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
Toy Story (1995),FALSE,TRUE,0,1,TRUE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE
Toy Story 2 (1999),FALSE,TRUE,0,1,TRUE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE
Toy Story 3 (2010),FALSE,TRUE,0,1,TRUE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE
Toy Story 4 (2019),FALSE,TRUE,0,1,TRUE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE
Treasure Planet (2002),FALSE,TRUE,0,3,TRUE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE
Tron: Legacy (2010),TRUE,TRUE,2,4,TRUE,TRUE,FALSE,TRUE,1,1,TRUE,FALSE
Up (2009),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
WALL-E (2008),TRUE,TRUE,1,1,TRUE,TRUE,TRUE,TRUE,0,0,FALSE,FALSE
Zootopia (2016),FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE